dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 15:57:15.388 UTC 3 12 0 533 523 1347.814 2385.351 5 194.104 10.38701 1 1 68 0 0 0 0 NaN
Jun 12th 15:57:12.929 UTC 2 15 40 745 739 1777.377 3196.873 0 949.9119 781.7183 0 0 54 0 0 1220 616.3916 2.526195
Jun 12th 15:56:15.380 UTC 3 14 0 529 521 1332.78 2374.434 5 193.2897 10.38701 1 1 68 0 0 0 0 NaN
Jun 12th 15:56:12.928 UTC 2 15 40 743 735 1773.372 3177.063 0 949.3846 780.8829 0 0 54 0 0 1210 612.4691 2.530864
Jun 12th 15:55:14.521 UTC 3 15 1 527 520 1326.792 2370.643 5 193.4588 10.38701 1 1 67 0 0 0 0 NaN
Jun 12th 15:55:12.939 UTC 2 15 38 740 734 1760.932 3171.121 0 948.713 780.692 0 0 54 0 0 1200 603.8403 2.516001
Jun 12th 15:54:14.511 UTC 3 14 0 526 519 1324.092 2368.904 5 193.2695 10.42107 1 1 67 0 0 0 0 NaN
Jun 12th 15:54:11.979 UTC 2 15 39 739 732 1759.074 3162.367 0 948.5063 780.2538 0 0 53 0 0 1195 595.4703 2.491508
Jun 12th 15:53:14.522 UTC 3 13 0 522 517 1317.441 2357.824 5 193.2691 10.43689 1 1 67 0 0 0 0 NaN
Jun 12th 15:53:11.988 UTC 2 14 40 738 730 1756.764 3155.216 0 948.3481 779.6477 0 0 53 0 0 1195 595.4703 2.491508
Jun 12th 15:52:14.511 UTC 3 15 1 521 514 1316.091 2345.072 5 193.3498 10.409 1 1 67 0 0 0 0 NaN
Jun 12th 15:52:11.980 UTC 2 14 37 734 728 1746.217 3143.801 0 947.7258 779.3452 0 0 53 0 0 1195 595.4703 2.491508
Jun 12th 15:51:14.511 UTC 3 13 0 520 513 1312.701 2341.868 5 193.1927 10.43808 1 1 67 0 0 0 0 NaN
Jun 12th 15:51:11.980 UTC 2 15 38 733 724 1744.009 3125.823 0 947.6108 778.7814 0 0 53 0 0 1195 595.4703 2.491508
Jun 12th 15:50:14.512 UTC 3 11 0 520 511 1312.701 2335.837 5 193.1927 10.4949 1 1 67 0 0 0 0 NaN
Jun 12th 15:50:11.979 UTC 2 15 40 731 722 1740.756 3111.095 0 947.0337 778.4352 0 0 53 0 0 1190 592.7703 2.490632
Jun 12th 15:49:13.735 UTC 3 11 0 515 510 1304.171 2334.133 5 193.4387 10.49872 1 1 66 0 0 0 0 NaN
Jun 12th 15:49:11.991 UTC 2 15 38 728 720 1735.698 3106.682 0 946.5729 778.0885 0 0 53 0 0 1190 592.7703 2.490632
Jun 12th 15:48:13.745 UTC 3 9 1 513 510 1300.696 2334.133 5 193.5455 10.51785 1 1 66 0 0 0 0 NaN
Jun 12th 15:48:11.981 UTC 2 14 37 726 718 1733.448 3100.265 0 946.1918 777.6577 0 0 53 0 0 1190 592.7703 2.490632
Jun 12th 15:47:13.726 UTC 3 9 0 511 506 1297.441 2322.891 5 193.8252 10.54916 1 1 66 0 0 0 0 NaN
Jun 12th 15:47:11.990 UTC 2 15 38 723 715 1724.739 3094.945 0 945.284 777.1928 0 0 53 0 0 1190 592.7703 2.490632
Jun 12th 15:46:13.735 UTC 3 9 0 510 505 1293.459 2316.575 5 194.0663 10.57276 1 0 66 0 0 0 0 NaN
Jun 12th 15:46:11.989 UTC 2 15 37 719 713 1714.197 3084.376 0 944.782 776.772 0 0 53 0 0 1190 592.7703 2.490632
Jun 12th 15:45:13.737 UTC 3 8 0 509 504 1292.119 2313.333 5 194.3059 10.5926 1 0 66 0 0 0 0 NaN
Jun 12th 15:45:10.947 UTC 2 15 38 717 709 1710.945 3067.773 0 944.4028 776.0396 0 0 52 0 0 1190 592.7703 2.490632
Jun 12th 15:44:12.938 UTC 3 5 0 507 504 1287.304 2313.333 5 194.4474 10.61976 1 0 65 0 0 0 0 NaN
