dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 07:44:36.149 UTC 3 8 0 531 529 1394.449 2323.887 0 185.0473 11.28743 0 0 75 0 0 0 NaN
Jun 11th 07:44:25.786 UTC 2 13 37 767 762 1821.896 3286.184 0 932.0984 765.554 0 0 52 0 0 734.5583 2.782418
Jun 11th 07:43:36.159 UTC 3 9 1 531 526 1394.449 2315.533 0 185.0473 11.30485 0 0 75 0 0 0 NaN
Jun 11th 07:43:24.701 UTC 2 14 40 766 756 1820.556 3261.781 0 931.7556 763.7079 0 0 51 0 0 734.5583 2.782418
Jun 11th 07:42:35.515 UTC 3 10 1 531 524 1394.449 2309.447 0 185.0473 11.32382 0 0 74 0 0 0 NaN
Jun 11th 07:42:24.702 UTC 2 15 40 765 753 1819.656 3249.677 0 931.5444 762.8754 0 0 51 0 0 727.0884 2.764595
Jun 11th 07:41:34.731 UTC 3 9 1 528 522 1386.734 2302.006 0 185.4684 11.35229 0 0 73 0 0 0 NaN
Jun 11th 07:41:24.694 UTC 2 15 40 764 751 1815.674 3242.867 0 931.0302 762.0986 0 0 51 0 0 727.0884 2.764595
Jun 11th 07:40:34.731 UTC 3 7 0 526 522 1380.954 2302.006 0 185.5918 11.37524 0 0 73 0 0 0 NaN
Jun 11th 07:40:24.703 UTC 2 15 40 757 751 1796.458 3242.867 0 928.6298 762.0986 0 0 51 0 0 719.7571 2.768296
Jun 11th 07:39:34.740 UTC 3 7 0 524 520 1377.901 2290.361 0 185.7318 11.39276 0 0 73 0 0 0 NaN
Jun 11th 07:39:24.702 UTC 2 15 39 754 750 1790.02 3237.694 0 927.4121 761.8702 0 0 51 0 0 712.457 2.761461
Jun 11th 07:38:34.739 UTC 3 7 0 522 520 1369.272 2290.361 0 185.7173 11.39276 0 0 73 0 0 0 NaN
Jun 11th 07:38:24.693 UTC 2 14 39 751 747 1784.217 3220.041 0 926.1477 760.7992 0 0 51 0 0 710.642 2.765144
