dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 16:05:20.218 UTC 3 10 0 533 525 1388.895 2454.568 10 202.537 16.22289 2 2 75 0 0 0 0 NaN
Jun 12th 16:04:28.913 UTC 2 13 39 815 811 2148.998 3225.375 0 294.0936 137.5747 0 0 70 0 0 870 309.9579 1.781367
Jun 12th 16:04:20.220 UTC 3 9 0 532 524 1385.505 2452.089 10 202.3107 16.27767 2 2 75 0 0 0 0 NaN
Jun 12th 16:03:27.914 UTC 2 15 40 813 805 2144.518 3206.397 0 294.3968 137.9905 0 0 69 0 0 865 307.9329 1.779959
Jun 12th 16:03:20.211 UTC 3 9 0 530 523 1381.15 2448.524 10 202.0913 16.30616 2 2 75 0 0 0 0 NaN
Jun 12th 16:02:27.903 UTC 2 15 39 811 804 2139.365 3205.261 0 294.9402 138.1359 0 0 69 0 0 855 303.0931 1.772475
Jun 12th 16:02:20.221 UTC 3 10 0 527 521 1373.598 2440.329 10 202.3326 16.32911 2 2 75 0 0 0 0 NaN
Jun 12th 16:01:27.904 UTC 2 14 37 807 801 2130.47 3194.686 0 295.4572 138.8023 0 0 69 0 0 855 303.0931 1.772475
Jun 12th 16:01:20.222 UTC 3 12 0 527 519 1373.598 2425.494 10 202.3326 16.32911 2 2 75 0 0 0 0 NaN
Jun 12th 16:00:27.914 UTC 2 15 39 805 795 2128.58 3167.204 0 295.732 138.76 0 0 69 0 0 855 303.0931 1.772475
Jun 12th 16:00:19.425 UTC 3 11 0 524 518 1364.879 2418.681 10 202.3792 16.36884 2 2 74 0 0 0 0 NaN
Jun 12th 15:59:27.912 UTC 2 15 38 803 794 2123.32 3162.43 0 296.1365 138.8773 0 0 69 0 0 850 301.1311 1.77136
Jun 12th 15:59:19.435 UTC 3 11 0 524 516 1364.879 2408.169 10 202.3792 16.40874 2 2 74 0 0 0 0 NaN
