dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 17th 18:47:02.896 UTC 14 14 3 0 676 674 1649.395 3396.692 0 573.6677 375.3024 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
Jun 17th 18:47:02.702 UTC 13 10 12 0 724 714 1797.25 3507.699 10 530.6995 337.061 2 0 8 0 0 380 205.0381 2.69787 192.1557 2.528365
Jun 17th 18:46:53.382 UTC 5 18 19 17 664 656 1697.142 3004.899 5 519.579 339.737 1 0 14 0 1 265 139.512 2.632301 129.5349 2.444054
Jun 17th 18:46:48.598 UTC 0 22 1 0 300 299 746.1705 1166.266 0 554.1366 400.4368 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:46:44.938 UTC 4 9 1 0 400 399 1127.726 1680.783 5 237.368 65.2363 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:46:42.828 UTC 8 8 20 5 523 514 1284.793 2327.36 0 449.3165 276.4779 0 0 13 0 0 300 130.8475 2.180791 128.0722 2.134537
Jun 17th 18:46:42.650 UTC 9 23 4 0 740 737 1792.297 3694.148 10 525.7665 327.4313 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:46:39.623 UTC 3 19 20 1 637 627 1682.299 2958.352 0 517.107 350.8315 0 1 13 0 1 185 89.43242 2.417092 64.12215 1.733031
Jun 17th 18:46:37.541 UTC 22 17 2 0 480 479 1269.633 2036.494 15 233.404 50.85067 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:46:37.535 UTC 2 24 6 0 806 804 1968.99 4300.606 10 609.1174 396.8443 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:46:37.530 UTC 17 3 2 0 667 666 1714.445 3169.643 5 406.9533 217.6896 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:46:37.479 UTC 6 16 0 0 589 588 1549.37 3005.808 5 366.339 164.666 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:46:37.453 UTC 20 15 1 0 569 568 1545.391 2563.883 0 268.2188 90.60445 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:46:37.219 UTC 11 20 3 0 537 534 1406.282 2319.722 35.17241 247.0269 72.16878 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:46:32.598 UTC 1 11 3 0 455 449 1139.932 2145.278 7.881369 371.3884 168.6113 1 3 13 0 4 0 0 NaN 0 NaN
Jun 17th 18:46:28.133 UTC 15 5 5 0 559 556 1492.301 2715 15 339.7674 146.1346 3 0 3 0 1 0 0 NaN 0 NaN
Jun 17th 18:46:22.387 UTC 19 2 2 0 581 580 1502.635 2545.858 5 300.0855 121.1289 1 0 4 0 0 0 0 NaN 0 NaN
Jun 17th 18:46:18.775 UTC 16 6 20 6 463 450 1210.641 1945.192 5 379.9249 209.0245 1 0 18 0 2 0 0 NaN 0 NaN
Jun 17th 18:46:02.893 UTC 14 14 3 0 676 674 1649.395 3396.692 0 573.6677 375.3024 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
Jun 17th 18:46:02.717 UTC 13 10 16 0 721 710 1782.408 3486.041 10 531.6019 337.061 2 0 8 0 0 380 205.0381 2.69787 192.1557 2.528365
Jun 17th 18:45:48.588 UTC 0 22 1 0 299 299 742.7805 1166.266 0 555.0787 400.4368 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:45:44.928 UTC 4 9 2 0 399 398 1122.529 1677.767 5 237.3872 65.2363 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:45:42.825 UTC 8 8 19 10 522 510 1284.193 2310.639 0 449.6619 273.4136 0 0 13 0 0 300 130.8475 2.180791 128.0722 2.134537
Jun 17th 18:45:42.661 UTC 9 23 4 0 739 737 1791.397 3694.148 10 526.1266 327.4313 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:45:39.622 UTC 3 19 19 3 634 626 1671.274 2952.493 0 518.1461 338.779 0 1 13 0 1 185 89.43242 2.417092 64.12215 1.733031
Jun 17th 18:45:37.532 UTC 22 17 3 0 480 478 1269.633 2033.756 15 233.404 50.85067 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:45:37.524 UTC 2 24 7 0 805 803 1966.29 4297.776 10 609.6225 396.8443 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:45:37.520 UTC 17 3 2 0 666 666 1708.235 3169.643 5 407.1792 217.6896 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:45:37.478 UTC 6 16 2 0 589 586 1549.37 3000.259 5 366.339 164.666 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:45:37.443 UTC 20 15 1 0 568 568 1539.417 2563.883 0 268.2213 90.60445 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:45:37.210 UTC 11 20 4 0 535 533 1403.692 2316.751 35.17241 247.1047 72.16878 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:45:32.599 UTC 1 11 4 0 454 448 1138.583 2137.405 7.881369 371.7489 168.6113 1 3 13 0 4 0 0 NaN 0 NaN
