dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 18th 02:16:46.270 UTC 12 23 4 0 684 680 1749.846 3492.89 15 705.5048 502.4935 3 0 6 0 0 435 243.1287 2.794583 243.1287 2.794583
Jun 18th 02:16:46.122 UTC 7 24 5 0 745 739 1815.167 4336.031 15.63274 832.8918 598.2963 3 1 2 0 0 1450 766.3156 2.642467 766.3156 2.642467
Jun 18th 02:16:41.784 UTC 9 14 20 27 554 541 1400.849 2844.603 5 800.4149 595.4265 1 0 12 0 1 890 525.5726 2.952655 525.5726 2.952655
Jun 18th 02:16:39.656 UTC 10 22 20 34 272 258 692.946 1260.326 0 798.277 610.2457 0 0 25 0 0 870 490.2838 2.817723 490.2838 2.817723
Jun 18th 02:16:37.907 UTC 18 21 0 0 414 413 1063.014 1719.858 1.685828 447.6697 273.0493 0 1 17 0 4 35 14.985 2.140714 14.985 2.140714
Jun 18th 02:16:32.139 UTC 20 4 12 0 598 586 1578.047 3326.354 0 857.9344 633.7286 0 0 11 0 0 1560 809.6965 2.595181 809.6965 2.595181
Jun 18th 02:16:25.243 UTC 14 9 1 0 408 407 1010.463 1644.892 5 446.4754 278.9154 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:16:19.189 UTC 8 10 10 0 659 649 1621.538 3422.769 1.174508 727.9077 516.1147 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:16:17.993 UTC 0 18 11 0 647 638 1677.091 3280.812 15 644.8765 440.2262 3 1 8 0 1 680 345.605 2.541213 345.605 2.541213
Jun 18th 02:16:16.141 UTC 2 5 2 0 580 577 1470.087 2814.938 21.45243 478.8666 286.8426 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:16:09.386 UTC 17 2 5 0 571 566 1443.377 2469.781 0 519.1768 341.0782 0 0 7 0 2 190 105.0612 2.76477 105.0612 2.76477
Jun 18th 02:16:05.545 UTC 3 16 8 0 598 591 1515.226 3079.867 0 463.4323 255.8207 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:16:05.471 UTC 22 17 0 0 508 507 1334.703 2193.829 5 274.2941 83.33672 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:16:05.454 UTC 19 15 2 0 602 599 1705.601 2641.685 5 291.0422 117.4114 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:16:05.373 UTC 1 3 5 0 718 713 1856.606 3428.41 15 501.8178 308.4011 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:16:05.100 UTC 21 20 3 0 578 575 1586.046 2533.617 20 317.9002 137.2711 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:16:04.205 UTC 13 11 7 0 510 501 1322.67 2425.122 29.14525 565.6434 360.3365 5 4 12 0 7 70 42.84625 3.060447 42.84625 3.060447
Jun 18th 02:15:39.656 UTC 10 22 20 36 270 256 686.8849 1245.519 0 795.726 608.3054 0 0 25 0 0 870 490.2838 2.817723 490.2838 2.817723
Jun 18th 02:15:37.917 UTC 18 21 0 0 414 413 1063.014 1719.858 1.685828 447.6697 273.0493 0 1 17 0 4 35 14.985 2.140714 14.985 2.140714
Jun 18th 02:15:32.130 UTC 20 4 15 0 596 583 1575.067 3308.49 0 859.1877 633.7286 0 0 11 0 0 1560 809.6965 2.595181 809.6965 2.595181
Jun 18th 02:15:25.233 UTC 14 9 1 0 408 407 1010.463 1644.892 5 446.4754 278.9154 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:15:19.199 UTC 8 10 11 0 659 648 1621.538 3418.231 1.174508 727.9077 516.1147 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:15:17.984 UTC 0 18 13 0 642 636 1669.296 3267.891 15 646.0041 440.2262 3 1 8 0 1 680 345.605 2.541213 345.605 2.541213
Jun 18th 02:15:16.140 UTC 2 5 2 0 580 577 1470.087 2814.938 21.45243 478.8666 286.8426 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:15:09.382 UTC 17 2 8 0 571 563 1443.377 2453.276 0 519.1768 341.0782 0 0 7 0 2 190 105.0612 2.76477 105.0612 2.76477
Jun 18th 02:15:06.334 UTC 5 19 19 30 510 500 1279.497 2488.612 10 761.2238 568.035 2 1 15 0 0 1265 684.1432 2.704123 684.1432 2.704123
Jun 18th 02:15:05.545 UTC 3 16 10 0 598 589 1515.226 3067.326 0 463.4323 255.8207 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:15:05.462 UTC 22 17 1 0 508 506 1334.703 2188.388 5 274.2941 83.33672 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:15:05.443 UTC 19 15 2 0 602 599 1705.601 2641.685 5 291.0422 117.4114 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:15:05.383 UTC 1 3 6 0 718 712 1856.606 3422.388 15 501.8178 308.4011 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
