dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 18th 02:22:28.267 UTC 19 9 3 0 645 641 1738.182 2599.794 0 421.2743 251.3236 0 1 10 0 6 40 5.515581 0.6894476 5.215581 0.6519477
Jun 18th 02:22:21.155 UTC 14 8 20 10 739 731 2024.766 3514.636 0 620.7381 446.3959 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:22:20.148 UTC 1 21 20 16 543 533 1470.868 2164.015 7.796717 512.0175 348.9992 1 1 18 0 9 6335 1068.262 0.8431425 1064.606 0.840257
Jun 18th 02:22:16.407 UTC 2 23 20 26 814 802 2550.622 4187.627 10 680.5008 490.5371 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:22:07.414 UTC 18 18 20 27 700 688 2342.922 3505.744 10 646.3807 453.1141 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:22:04.468 UTC 3 19 19 227 576 565 1837.852 2677.056 10 1086.473 911.5886 2 0 18 0 1 430845 87757.44 1.018434 24314.23 0.2821691
Jun 18th 02:22:03.647 UTC 9 20 1 0 811 810 2094.42 3593.301 20 451.8659 271.2946 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:21:49.295 UTC 20 2 18 14 740 728 2124.719 3203.597 5 674.9792 496.3356 1 1 11 0 5 13495 1649.598 0.6111887 1594.334 0.590713
Jun 18th 02:21:45.717 UTC 7 10 20 27 826 817 2647.675 4176.331 0 748.2079 558.3649 0 0 6 0 0 28030 5040.067 0.8990487 4619.278 0.8239882
Jun 18th 02:21:40.245 UTC 16 5 1 0 741 739 1957.132 3501.494 5 611.8094 425.6235 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
Jun 18th 02:21:38.039 UTC 4 24 20 33 850 838 2927.292 4722.459 5.113008 802.1296 581.8635 1 1 1 0 0 12610 2818.082 1.1174 2667.466 1.057679
Jun 18th 02:21:29.585 UTC 22 4 20 249 742 727 2411.065 4101.657 0.1455382 904.3193 694.6357 0 1 7 0 1 265785 42045.52 0.7909687 2877.666 0.05413522
Jun 18th 02:21:28.778 UTC 5 17 2 0 746 743 2036.309 3082.13 30 283.1648 112.8976 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:21:28.534 UTC 17 3 16 0 933 918 2592.462 4470.477 10 692.986 499.2728 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:21:28.466 UTC 21 15 1 0 842 841 2142.721 3758.226 15 402.2834 226.2861 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:21:28.299 UTC 12 16 5 0 808 803 2132.048 4162.95 0 552.9199 346.8387 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
Jun 18th 02:21:28.276 UTC 19 9 4 0 645 640 1738.182 2593.584 0 421.2743 251.3236 0 1 10 0 6 40 5.515581 0.6894476 5.215581 0.6519477
Jun 18th 02:21:21.157 UTC 14 8 19 14 735 728 2019.969 3502.273 0 618.2166 441.1199 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:21:20.137 UTC 1 21 19 18 539 532 1462.295 2157.492 7.796717 508.206 349.7742 1 1 18 0 9 6335 1068.262 0.8431425 1064.606 0.840257
Jun 18th 02:21:16.417 UTC 2 23 20 30 814 798 2550.622 4173.618 10 680.5008 478.971 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:21:07.435 UTC 18 18 20 29 698 686 2338.737 3491.199 10 646.3305 451.7138 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:21:04.478 UTC 3 19 19 230 570 562 1832.101 2659.364 10 1070.732 907.4102 2 0 18 0 1 428160 87182.68 1.018109 24322.62 0.2840366
Jun 18th 02:21:03.661 UTC 9 20 5 0 811 806 2094.42 3570.239 20 451.8659 271.2946 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:20:49.307 UTC 20 2 20 18 736 722 2117.554 3175.781 5 676.832 497.2047 1 1 11 0 5 13495 1649.598 0.6111887 1594.334 0.590713
Jun 18th 02:20:45.717 UTC 7 10 19 30 823 815 2644.677 4162.099 0 744.0789 555.2595 0 0 6 0 0 28030 5040.067 0.8990487 4619.278 0.8239882
Jun 18th 02:20:40.244 UTC 16 5 2 0 741 738 1957.132 3496.27 5 611.8094 425.6235 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
Jun 18th 02:20:38.037 UTC 4 24 20 36 846 835 2914.644 4700.138 5.113008 803.3041 574.3093 1 1 1 0 0 12610 2818.082 1.1174 2667.466 1.057679
Jun 18th 02:20:29.593 UTC 22 4 20 250 739 726 2407.016 4092.479 0.1455382 899.3619 693.3755 0 1 7 0 1 264785 41886.93 0.7909611 2879.033 0.05436549
