dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 09:10:51.324 UTC 2 13 35 819 815 2103.348 3183.348 0 304.1354 151.8126 0 0 71 0 0 325.1836 2.04518
Jun 11th 09:10:34.064 UTC 3 12 1 540 531 1423.777 2423.391 10.0214 194.7165 12.91581 2 1 62 0 0 0 NaN
Jun 11th 09:09:51.314 UTC 2 15 33 818 811 2097.375 3172.581 0 304.3359 152.1237 0 0 71 0 0 325.1836 2.04518
Jun 11th 09:09:34.054 UTC 3 12 0 539 530 1422.007 2415.943 10.0214 194.8567 12.92218 2 1 62 0 0 0 NaN
Jun 11th 09:08:51.317 UTC 2 13 36 814 808 2086.75 3159.603 0 305.2256 151.6929 0 0 71 0 0 325.1836 2.04518
Jun 11th 09:08:34.053 UTC 3 10 0 538 529 1420.807 2413.055 10.0214 195.0693 12.98377 2 1 62 0 0 0 NaN
Jun 11th 09:07:50.292 UTC 2 14 39 812 802 2084.18 3144.167 0 305.4016 151.4493 0 0 70 0 0 325.1836 2.04518
Jun 11th 09:07:34.065 UTC 3 11 0 535 526 1411.357 2400.61 10.0214 194.8416 12.99863 2 1 62 0 0 0 NaN
Jun 11th 09:06:50.306 UTC 2 15 40 811 799 2081.495 3138.168 0 305.7036 151.8021 0 0 70 0 0 320.6986 2.069023
Jun 11th 09:06:33.034 UTC 3 13 0 533 524 1408.522 2396.305 10.0214 194.8149 12.99863 2 1 61 0 0 0 NaN
Jun 11th 09:05:50.306 UTC 2 15 37 803 797 2059.631 3129.217 0 306.7898 152.1506 0 0 70 0 0 320.6986 2.069023
Jun 11th 09:05:33.036 UTC 3 13 0 531 523 1400.309 2387.708 10.0214 194.7298 13.02004 2 1 61 0 0 0 NaN
Jun 11th 09:04:50.295 UTC 2 15 36 799 794 2050.666 3111.346 0 307.0826 152.6931 0 0 70 0 0 320.6986 2.069023
Jun 11th 09:04:33.028 UTC 3 14 1 527 520 1389.037 2366.972 10.0214 195.006 13.00347 2 1 61 0 0 0 NaN
Jun 11th 09:03:50.306 UTC 2 15 36 798 791 2046.684 3098.694 0 307.0014 153.01 0 0 70 0 0 320.6986 2.069023
Jun 11th 09:03:33.038 UTC 3 14 1 526 518 1384.514 2358.139 10.0214 194.8986 13.02774 2 1 61 0 0 0 NaN
Jun 11th 09:02:50.307 UTC 2 14 39 798 787 2046.684 3084.458 0 307.0014 153.0371 0 0 70 0 0 320.6986 2.069023
Jun 11th 09:02:33.039 UTC 3 12 0 526 517 1384.514 2350.56 10.0214 194.8986 13.07231 2 1 61 0 0 0 NaN
Jun 11th 09:01:50.295 UTC 2 15 40 796 783 2042.489 3063.355 0 307.2351 152.9788 0 0 70 0 0 315.4861 2.062
Jun 11th 09:01:33.026 UTC 3 12 0 525 516 1383.164 2345.467 10.0214 195.1048 13.07908 2 1 61 0 0 0 NaN
Jun 11th 09:00:50.315 UTC 2 15 39 793 781 2037.46 3056.178 0 301.819 153.0018 0 0 70 0 0 315.4861 2.062
Jun 11th 09:00:31.934 UTC 3 12 0 524 514 1381.814 2333.918 10.0214 194.9845 13.10808 2 1 60 0 0 0 NaN
Jun 11th 08:59:50.304 UTC 2 15 40 788 780 2028.285 3050.087 0 297.3828 153.1819 0 0 70 0 0 306.2495 2.055366
Jun 11th 08:59:31.931 UTC 3 11 0 521 513 1375.77 2329.531 10.0214 194.4172 13.13569 2 1 60 0 0 0 NaN
Jun 11th 08:58:50.305 UTC 2 15 40 785 779 2022.133 3045.555 0 297.398 153.3221 0 0 70 0 0 299.0145 2.048045
Jun 11th 08:58:31.924 UTC 3 13 0 518 511 1367.699 2322.475 10.0214 194.0892 13.13569 2 1 60 0 0 0 NaN
Jun 11th 08:57:50.296 UTC 2 15 35 782 779 2016.258 3045.555 0 297.0681 153.3221 0 0 70 0 0 295.7036 2.039335
Jun 11th 08:57:31.923 UTC 3 15 0 516 509 1362.367 2319.415 10.0214 193.8534 13.13569 2 1 60 0 0 0 NaN
Jun 11th 08:56:50.304 UTC 2 15 34 781 775 2015.358 3025.292 0 296.7263 148.1522 0 0 70 0 0 295.7036 2.039335
Jun 11th 08:56:31.933 UTC 3 13 0 512 509 1356.902 2319.415 10.0214 194.5504 13.15203 2 1 60 0 0 0 NaN
Jun 11th 08:55:49.171 UTC 2 15 36 780 771 2013.098 3007.574 0 296.6129 143.7861 0 0 69 0 0 295.7036 2.039335
Jun 11th 08:55:31.933 UTC 3 12 1 511 507 1355.102 2309.107 10.0214 194.5748 13.2021 2 1 60 0 0 0 NaN
Jun 11th 08:54:49.182 UTC 2 15 37 778 770 2010.113 3005.778 0 296.9638 143.6331 0 0 69 0 0 295.7036 2.039335
Jun 11th 08:54:31.922 UTC 3 9 0 510 506 1346.732 2304.614 10.0214 193.5751 13.25198 2 1 60 0 0 0 NaN
Jun 11th 08:53:49.170 UTC 2 15 40 777 766 2009.513 2996.071 0 297.021 143.7036 0 0 69 0 0 292.3836 2.030442
Jun 11th 08:53:31.943 UTC 3 7 0 510 506 1346.732 2304.614 10.0214 193.5751 13.28992 2 1 60 0 0 0 NaN
Jun 11th 08:52:49.182 UTC 2 15 39 772 765 1997.803 2994.906 0 297.385 143.4649 0 0 69 0 0 287.6211 2.025501
Jun 11th 08:52:31.934 UTC 3 5 0 510 505 1346.732 2296.47 10.0214 193.5751 13.32956 2 1 60 0 0 0 NaN
Jun 11th 08:51:49.181 UTC 2 14 40 766 761 1988.938 2976.152 0 298.1523 143.9565 0 0 69 0 0 287.6211 2.025501
Jun 11th 08:51:31.923 UTC 3 6 0 508 504 1341.624 2292.012 10.0214 193.6483 13.32956 2 1 60 0 0 0 NaN
Jun 11th 08:50:49.171 UTC 2 15 40 765 757 1985.473 2964.581 0 298.2758 144.3973 0 0 69 0 0 279.9936 1.98577
Jun 11th 08:50:29.770 UTC 3 9 0 507 501 1335.651 2274.94 10.0214 193.548 13.32956 2 1 58 0 0 0 NaN
Jun 11th 08:49:49.181 UTC 2 15 38 764 756 1982.818 2962.876 0 298.4941 144.2877 0 0 69 0 0 268.0461 1.928389
Jun 11th 08:49:29.772 UTC 3 12 0 507 497 1335.651 2257 10.0214 193.548 13.34327 2 1 58 0 0 0 NaN
