dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 12:13:00.629 UTC 2 14 43 765 756 2431.183 3323.154 0 421.1054 247.1423 0 0 45 0 0 316.7427 0.643786
Jun 11th 12:12:27.210 UTC 3 11 0 554 548 1456.142 2523.669 0 195.0717 10.98182 0 0 82 0 0 0 NaN
Jun 11th 12:12:00.621 UTC 2 15 41 764 753 2429.453 3305.734 0 421.3167 247.5367 0 0 45 0 0 316.7427 0.6530777
Jun 11th 12:11:27.198 UTC 3 8 0 552 548 1453.892 2523.669 0 195.173 11.01337 0 0 82 0 0 0 NaN
Jun 11th 12:11:00.632 UTC 2 15 40 760 751 2418.236 3297.271 0 420.3642 247.9932 0 0 45 0 0 316.7427 0.6654258
Jun 11th 12:10:27.220 UTC 3 7 0 551 548 1450.572 2523.669 0 195.029 11.02393 0 0 82 0 0 0 NaN
Jun 11th 12:10:00.632 UTC 2 15 40 756 750 2407.346 3291.039 0 420.104 248.242 0 0 45 0 0 313.5377 0.6628704
Jun 11th 12:09:27.199 UTC 3 9 0 549 544 1444.564 2511.759 0 194.7307 11.04875 0 0 82 0 0 0 NaN
Jun 11th 12:09:00.622 UTC 2 15 40 756 750 2407.346 3291.039 0 420.104 248.242 0 0 45 0 0 311.2477 0.6622291
Jun 11th 12:08:26.353 UTC 3 13 0 547 540 1436.059 2480.601 0 194.8773 11.04875 0 0 81 0 0 0 NaN
Jun 11th 12:08:00.639 UTC 2 15 37 751 748 2394.968 3281.095 0 420.0535 248.8843 0 0 45 0 0 311.2477 0.6622291
Jun 11th 12:07:25.443 UTC 3 11 0 545 540 1432.939 2480.601 0 195.153 11.07135 0 0 80 0 0 0 NaN
Jun 11th 12:06:59.682 UTC 2 15 38 751 745 2394.968 3270.718 0 420.0535 248.7981 0 0 44 0 0 311.2477 0.6622291
Jun 11th 12:06:25.434 UTC 3 11 1 545 538 1432.939 2473.679 0 195.153 11.0886 0 0 80 0 0 0 NaN
Jun 11th 12:05:59.674 UTC 2 15 39 751 741 2394.968 3257.713 0 420.0535 247.9044 0 0 44 0 0 311.2477 0.6622291
Jun 11th 12:05:25.446 UTC 3 12 0 543 536 1420.992 2461.049 0 195.1458 11.09179 0 0 80 0 0 0 NaN
Jun 11th 12:04:59.683 UTC 2 15 39 748 738 2383.427 3244.301 0 420.9778 247.4802 0 0 44 0 0 310.3477 0.6617221
Jun 11th 12:04:24.444 UTC 3 13 1 542 533 1415.907 2442.895 0 195.3095 11.1147 0 0 79 0 0 0 NaN
Jun 11th 12:03:59.673 UTC 2 15 39 743 736 2361.866 3235.905 0 422.639 248.0948 0 0 44 0 0 309.5477 0.6614267
Jun 11th 12:03:24.456 UTC 3 12 1 542 532 1415.907 2436.704 0 195.3095 11.13393 0 0 79 0 0 0 NaN
Jun 11th 12:02:59.674 UTC 2 15 39 741 733 2355.296 3220.297 0 422.6902 248.8076 0 0 44 0 0 308.4577 0.660509
Jun 11th 12:02:24.453 UTC 3 12 0 538 531 1405.831 2431.796 0 194.4922 11.14278 0 0 79 0 0 0 NaN
Jun 11th 12:01:59.672 UTC 2 15 39 738 730 2342.205 3212 0 423.6469 249.667 0 0 44 0 0 308.4577 0.660509
Jun 11th 12:01:23.683 UTC 3 12 0 536 530 1400.865 2428.305 0 194.4956 11.1461 0 0 78 0 0 0 NaN
Jun 11th 12:00:59.682 UTC 2 15 40 736 728 2337.471 3208.123 0 423.9276 250.2186 0 0 44 0 0 307.8577 0.6649194
Jun 11th 12:00:23.698 UTC 3 12 0 534 529 1395.417 2421.514 0 194.2477 11.15265 0 0 78 0 0 0 NaN
Jun 11th 11:59:59.683 UTC 2 15 41 732 725 2322.809 3186.975 0 424.8589 250.022 0 0 44 0 0 307.8577 0.6678041
Jun 11th 11:59:23.692 UTC 3 14 0 533 527 1392.964 2414.031 0 194.1472 11.15265 0 0 78 0 0 0 NaN
Jun 11th 11:58:59.681 UTC 2 14 41 729 721 2301.928 3171.042 0 425.7343 251.4936 0 0 44 0 0 307.8577 0.6826113
Jun 11th 11:58:23.691 UTC 3 13 1 529 526 1383.15 2406.529 0 194.236 11.16769 0 0 78 0 0 0 NaN
Jun 11th 11:57:59.672 UTC 2 15 40 728 718 2298.608 3154.413 0 425.8987 252.1083 0 0 44 0 0 306.9577 0.688246
Jun 11th 11:57:23.681 UTC 3 11 1 529 525 1383.15 2400.747 0 194.236 11.21379 0 0 78 0 0 0 NaN
Jun 11th 11:56:59.671 UTC 2 15 39 726 718 2290.947 3154.413 0 426.8088 252.1083 0 0 44 0 0 306.9577 0.688246
Jun 11th 11:56:23.680 UTC 3 9 0 529 524 1383.15 2393.251 0 194.236 11.23582 0 0 78 0 0 0 NaN
Jun 11th 11:55:59.682 UTC 2 15 39 726 715 2290.947 3139.635 0 426.8088 252.7264 0 0 44 0 0 305.7577 0.6886435
