dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 16:06:35.117 UTC 3 13 0 587 580 1521.935 2567.029 0 194.2652 17.86961 0 0 78 0 0 0 0 NaN
Jun 12th 16:06:22.740 UTC 2 15 40 756 748 2409.838 3344.411 0 348.5038 174.4291 0 0 54 0 0 4335 490.6219 0.5658845
Jun 12th 16:05:35.106 UTC 3 12 1 587 578 1521.935 2554.593 0 194.2652 17.93515 0 0 78 0 0 0 0 NaN
Jun 12th 16:05:22.730 UTC 2 15 41 754 745 2404.438 3337.905 0 349.045 174.4108 0 0 54 0 0 4330 489.3229 0.565038
Jun 12th 16:04:35.105 UTC 3 13 0 582 577 1506.017 2552.57 0 193.6716 17.93515 0 0 78 0 0 0 0 NaN
Jun 12th 16:04:22.749 UTC 2 15 36 750 745 2393.676 3337.905 0 350.0115 174.4108 0 0 54 0 0 4325 488.5383 0.5647842
Jun 12th 16:03:34.106 UTC 3 15 0 580 574 1502.867 2537.703 0 193.9919 17.95716 0 0 77 0 0 0 0 NaN
Jun 12th 16:03:22.741 UTC 2 15 39 747 739 2385.841 3312.283 0 349.9974 174.0844 0 0 54 0 0 4325 488.5383 0.5647842
Jun 12th 16:02:34.096 UTC 3 13 1 579 573 1501.517 2530.181 0 193.8987 18.01228 0 0 77 0 0 0 0 NaN
Jun 12th 16:02:20.181 UTC 2 14 46 744 736 2377.437 3297.004 0 350.3393 174.1302 0 0 52 0 0 4210 484.8926 0.575882
Jun 12th 16:01:33.061 UTC 3 11 1 577 572 1498.082 2522.596 0 193.8198 18.06655 0 0 76 0 0 0 0 NaN
Jun 12th 16:01:20.192 UTC 2 15 48 744 734 2377.437 3288.803 0 350.3393 174.3336 0 0 52 0 0 4090 466.0918 0.5697944
Jun 12th 16:00:33.057 UTC 3 11 0 577 571 1498.082 2517.503 0 193.8198 18.09506 0 0 76 0 0 0 0 NaN
Jun 12th 16:00:20.180 UTC 2 15 45 742 734 2370.44 3288.803 0 350.8891 174.3336 0 0 52 0 0 3925 431.1611 0.5492498
Jun 12th 15:59:33.045 UTC 3 12 0 577 568 1498.082 2508.284 0 193.8198 18.12976 0 0 76 0 0 0 0 NaN
Jun 12th 15:59:20.180 UTC 2 15 47 737 730 2354.795 3264.854 0 351.7003 174.4897 0 0 52 0 0 3795 404.2462 0.5326037
Jun 12th 15:58:33.056 UTC 3 10 0 574 568 1491.103 2508.284 0 193.2827 18.18385 0 0 76 0 0 0 0 NaN
Jun 12th 15:58:20.189 UTC 2 14 47 736 729 2352.095 3262.856 0 351.6783 174.882 0 0 52 0 0 3645 372.9924 0.5116494
Jun 12th 15:57:33.046 UTC 3 12 0 570 566 1479.305 2503.909 0 193.3819 18.18385 0 0 76 0 0 0 0 NaN
Jun 12th 15:57:20.190 UTC 2 15 45 734 725 2344.415 3242.146 0 351.8533 175.5123 0 0 52 0 0 3455 333.0045 0.4819168
Jun 12th 15:56:33.046 UTC 3 12 0 569 565 1477.505 2495.28 0 193.4088 18.20586 0 0 76 0 0 0 0 NaN
Jun 12th 15:56:20.180 UTC 2 15 42 733 724 2342.615 3238.709 0 351.6849 175.7122 0 0 52 0 0 3365 313.9875 0.466549
Jun 12th 15:55:33.046 UTC 3 9 0 566 565 1472.065 2495.28 0 193.5752 18.26713 0 0 76 0 0 0 0 NaN
Jun 12th 15:55:20.180 UTC 2 15 43 730 721 2331.095 3224.326 0 352.2488 175.606 0 0 52 0 0 3295 299.489 0.4544598
Jun 12th 15:54:33.057 UTC 3 9 1 566 562 1472.065 2483.189 0 193.5752 18.32899 0 0 76 0 0 0 0 NaN
Jun 12th 15:54:20.189 UTC 2 14 43 728 720 2326.333 3217.788 0 352.471 175.7623 0 0 52 0 0 3245 288.9933 0.4452901
Jun 12th 15:53:31.803 UTC 3 11 0 566 558 1472.065 2464.594 0 193.5752 18.37414 0 0 75 0 0 0 0 NaN
Jun 12th 15:53:20.189 UTC 2 15 42 724 717 2312.456 3202.48 0 353.2272 176.1161 0 0 52 0 0 3200 279.447 0.4366359
Jun 12th 15:52:31.812 UTC 3 11 1 565 556 1466.98 2454.65 0 193.7243 18.41869 0 0 75 0 0 0 0 NaN
Jun 12th 15:52:20.179 UTC 2 14 40 723 717 2311.536 3202.48 0 350.7769 176.2971 0 0 52 0 0 3185 276.2769 0.4337158
Jun 12th 15:51:31.814 UTC 3 11 1 562 555 1462.728 2448.447 0 193.7752 18.44711 0 0 75 0 0 0 0 NaN
Jun 12th 15:51:20.189 UTC 2 15 39 720 714 2304.967 3190.619 0 349.9225 176.7746 0 0 52 0 0 3175 274.9539 0.4329982
Jun 12th 15:50:31.803 UTC 3 12 0 559 553 1452.809 2437.141 0 193.3487 18.47049 0 0 75 0 0 0 0 NaN
Jun 12th 15:50:20.179 UTC 2 15 39 720 711 2304.967 3178.674 0 349.9225 177.4372 0 0 52 0 0 3170 274.4176 0.4328354
Jun 12th 15:49:30.720 UTC 3 15 2 558 548 1451.269 2422.133 0 193.3521 18.3205 0 0 74 0 0 0 0 NaN
Jun 12th 15:49:20.180 UTC 2 15 39 717 708 2296.769 3163.749 0 350.377 178.0512 0 0 52 0 0 3170 274.4176 0.4328354
Jun 12th 15:48:30.708 UTC 3 15 2 556 546 1447.404 2412.898 0 193.2507 18.16959 0 0 74 0 0 0 0 NaN
Jun 12th 15:48:20.192 UTC 2 15 36 714 706 2286.97 3156.036 0 351.0773 177.016 0 0 52 0 0 3170 274.4176 0.4328354
Jun 12th 15:47:30.712 UTC 3 15 4 551 543 1434.85 2394.871 0 193.4863 18.04428 0 0 74 0 0 0 0 NaN
Jun 12th 15:47:20.188 UTC 2 15 35 712 704 2281.48 3142.247 0 349.3272 174.8832 0 0 52 0 0 3170 274.4176 0.4328354
Jun 12th 15:46:30.700 UTC 3 14 0 547 543 1426.387 2394.871 0 193.5269 18.06204 0 0 74 0 0 0 0 NaN
Jun 12th 15:46:20.179 UTC 2 15 35 708 702 2270.263 3137.898 0 348.4133 175.3521 0 0 52 0 0 3170 274.4176 0.4328354
Jun 12th 15:45:30.711 UTC 3 13 0 547 542 1426.387 2391.875 0 193.5269 18.12124 0 0 74 0 0 0 0 NaN
Jun 12th 15:45:18.658 UTC 2 15 36 708 699 2270.263 3125.392 0 348.4133 175.8335 0 0 51 0 0 3170 274.4176 0.4328354
Jun 12th 15:44:30.710 UTC 3 15 1 547 538 1426.387 2375.508 0 193.5269 18.14733 0 0 74 0 0 0 0 NaN
Jun 12th 15:44:17.241 UTC 2 15 35 703 697 2255.259 3121.205 0 347.4726 175.0106 0 0 50 0 0 3170 274.4176 0.4328354
Jun 12th 15:43:30.710 UTC 3 13 0 546 537 1423.732 2366.292 0 193.4555 18.21673 0 0 74 0 0 0 0 NaN
Jun 12th 15:43:17.241 UTC 2 13 38 701 694 2249.256 3108.852 0 347.6855 171.3107 0 0 50 0 0 3170 274.4176 0.4328354
Jun 12th 15:42:30.710 UTC 3 13 0 540 534 1413.472 2356.438 0 193.5902 18.29585 0 0 74 0 0 0 0 NaN
Jun 12th 15:42:17.231 UTC 2 15 41 700 689 2245.577 3084.166 0 347.7377 171.6781 0 0 50 0 0 3145 269.8182 0.4289638
Jun 12th 15:41:30.711 UTC 3 12 1 540 532 1413.472 2347.85 0 193.5902 18.35575 0 0 74 0 0 0 0 NaN
Jun 12th 15:41:17.240 UTC 2 15 40 695 689 2229.259 3084.166 0 348.5592 171.6781 0 0 50 0 0 3130 268.7169 0.4292602
Jun 12th 15:40:29.881 UTC 3 13 1 537 530 1404.192 2340.16 0 194.0333 18.38355 0 0 73 0 0 0 0 NaN
Jun 12th 15:40:17.240 UTC 2 15 41 695 685 2229.259 3063.615 0 348.5592 172.1033 0 0 50 0 0 3120 267.9995 0.4294863
Jun 12th 15:39:29.871 UTC 3 11 0 535 530 1398.859 2340.16 0 194.0346 18.42466 0 0 73 0 0 0 0 NaN
Jun 12th 15:39:17.230 UTC 2 15 41 692 683 2218.594 3052.947 0 349.1399 172.4238 0 0 50 0 0 3105 265.1266 0.426935
Jun 12th 15:38:29.869 UTC 3 7 1 533 530 1394.959 2340.16 0 194.1821 18.54696 0 0 73 0 0 0 0 NaN
Jun 12th 15:38:17.231 UTC 2 14 42 690 682 2211.911 3051.722 0 349.4332 172.5895 0 0 50 0 0 3075 265.3689 0.4314942
Jun 12th 15:37:29.859 UTC 3 7 0 533 528 1394.959 2329.154 0 194.1821 18.59478 0 0 73 0 0 0 0 NaN
Jun 12th 15:37:17.242 UTC 2 14 42 687 680 2201.534 3041.718 0 349.6942 173.0372 0 0 50 0 0 3005 261.8289 0.4356553
Jun 12th 15:36:29.871 UTC 3 13 0 530 522 1381.324 2302.227 0 193.6267 18.59478 0 0 73 0 0 0 0 NaN
Jun 12th 15:36:17.233 UTC 2 15 41 684 677 2192.373 3031.161 0 349.0172 173.4325 0 0 50 0 0 2935 260.6501 0.4440377
Jun 12th 15:35:29.874 UTC 3 15 0 529 520 1379.689 2296.455 0 193.8356 18.59478 0 0 73 0 0 0 0 NaN
Jun 12th 15:35:17.231 UTC 2 15 40 681 675 2182.364 3017.692 0 349.656 173.8881 0 0 50 0 0 2910 257.2184 0.4419559
Jun 12th 15:34:29.865 UTC 3 13 1 527 519 1374.537 2289.926 0 194.0185 18.65296 0 0 73 0 0 0 0 NaN
Jun 12th 15:34:17.227 UTC 2 15 40 680 673 2179.709 3006.035 0 349.9032 174.2649 0 0 50 0 0 2910 257.2184 0.4419559
Jun 12th 15:33:28.659 UTC 3 14 0 524 518 1366.414 2281.498 0 194.3864 18.65296 0 0 72 0 0 0 0 NaN
Jun 12th 15:33:17.241 UTC 2 15 39 677 670 2169.156 2996.889 0 350.5432 174.5708 0 0 50 0 0 2905 256.6534 0.4417442
Jun 12th 15:32:28.649 UTC 3 10 1 521 518 1356.84 2281.498 0 194.1409 18.76173 0 0 72 0 0 0 0 NaN
Jun 12th 15:32:16.025 UTC 2 15 43 677 667 2169.156 2984.855 0 350.5432 174.0317 0 0 49 0 0 2875 253.3104 0.4405398
Jun 12th 15:31:28.649 UTC 3 9 1 521 516 1356.84 2269.487 0 194.1409 18.8447 0 0 72 0 0 0 0 NaN
Jun 12th 15:31:16.024 UTC 2 15 44 674 665 2159.646 2976.6 0 351.2851 174.4398 0 0 49 0 0 2840 249.8183 0.439821
Jun 12th 15:30:27.709 UTC 3 10 0 520 513 1354.14 2260.299 0 193.8614 18.90024 0 0 71 0 0 0 0 NaN
Jun 12th 15:30:16.025 UTC 2 15 44 671 662 2150.557 2958.615 0 351.91 175.0336 0 0 49 0 0 2710 232.0256 0.4280914
Jun 12th 15:29:27.711 UTC 3 12 0 519 511 1353.54 2251.083 0 192.9848 18.90024 0 0 71 0 0 0 0 NaN
Jun 12th 15:29:16.014 UTC 2 14 41 667 660 2137.014 2949.507 0 352.5807 175.6995 0 0 49 0 0 2615 232.6835 0.4449016
Jun 12th 15:28:27.710 UTC 3 15 1 516 507 1350.8 2240.358 0 192.2776 18.86114 0 0 71 0 0 0 0 NaN
Jun 12th 15:28:16.035 UTC 2 15 40 666 658 2134.935 2940.345 0 352.5029 175.912 0 0 49 0 0 2590 230.2891 0.4445736
Jun 12th 15:27:27.719 UTC 3 15 1 513 505 1343.285 2234.071 0 191.658 18.86709 0 0 71 0 0 0 0 NaN
Jun 12th 15:27:16.024 UTC 2 15 40 665 656 2129.355 2934.534 0 352.6285 176.3878 0 0 49 0 0 2590 230.2891 0.4445736
Jun 12th 15:26:27.709 UTC 3 14 0 508 504 1331.538 2226.304 0 188.8305 18.91749 0 0 71 0 0 0 0 NaN
Jun 12th 15:26:16.014 UTC 2 14 40 660 654 2111.884 2922.303 0 353.507 176.949 0 0 49 0 0 2585 229.1417 0.4432142
Jun 12th 15:25:27.700 UTC 3 12 4 507 501 1330.338 2206.602 0 188.8197 15.0493 0 0 71 0 0 0 0 NaN
Jun 12th 15:25:16.024 UTC 2 15 39 658 652 2106.254 2912.768 0 353.7585 177.1892 0 0 49 0 0 2575 227.6307 0.4420013
Jun 12th 15:24:23.618 UTC 3 13 10 506 498 1328.988 2188.994 0 188.5374 13.48236 0 0 67 0 0 0 0 NaN
Jun 12th 15:24:14.856 UTC 2 15 39 657 648 2100.28 2888.72 0 353.8757 177.231 0 0 48 0 0 2575 227.6307 0.4420013
Jun 12th 15:23:23.629 UTC 3 15 7 505 495 1327.188 2180.84 0 188.4801 13.29824 0 0 67 0 0 0 0 NaN
Jun 12th 15:23:14.845 UTC 2 15 40 655 647 2094.781 2882.864 0 353.9445 177.425 0 0 48 0 0 2565 226.1822 0.4409009
Jun 12th 15:22:23.628 UTC 3 14 6 502 495 1321.368 2180.84 0 188.9109 13.30789 0 0 67 0 0 0 0 NaN
Jun 12th 15:22:14.856 UTC 2 15 39 654 645 2090.799 2873.626 0 354.1536 177.9149 0 0 48 0 0 2565 226.1822 0.4409009
Jun 12th 15:21:23.617 UTC 3 13 7 499 492 1310.427 2164.703 0 188.264 13.27535 0 0 67 0 0 0 0 NaN
Jun 12th 15:21:14.854 UTC 2 14 40 653 643 2088.774 2862.996 0 354.2739 178.3051 0 0 48 0 0 2565 226.1822 0.4409009
Jun 12th 15:20:23.628 UTC 3 15 7 498 488 1307.974 2142.167 0 188.0234 13.10591 0 0 67 0 0 0 0 NaN
Jun 12th 15:20:14.844 UTC 2 15 40 648 640 2073.523 2852.229 0 354.1253 178.6244 0 0 48 0 0 2555 223.7909 0.437947
Jun 12th 15:19:23.628 UTC 3 15 4 494 487 1288.058 2133.424 0 187.4047 13.10932 0 0 67 0 0 0 0 NaN
